Immediately Invoked Function Expression）；IIFE;
correctly	adv.正确地，得体地.实事求是.;
hide	vt.隐藏.躲避，隐匿，躲藏.遮蔽，覆盖.;vi.隐瞒.遮住.遮挡.掩盖.;n.兽皮.<口>生命.<口>人的皮肤.（观看野生动物的）隐蔽处.;
wrap	n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来
arbitrary	adj.随意的，任性的，随心所欲的.主观的，武断的.霸道的，专制的，专横的，独断独行的.乱.;
powerful	adj.强大的.权力大的.（药）有效地.;adv.很.非常.;
inverse	adj.相反的.逆向的.倒转的.;n.相反.倒转.相反的事物.;vt.使倒转.使颠倒.;
pit	n.深坑,深渊,陷阱,(物体或人体表面上的)凹陷,(英国剧场的)正厅后排、正厅后排的观众vt.窖藏,使凹下,去...之核,使留疤痕,使竞争vi.起凹点,凹陷
unexpected	adj.想不到的，料不到的.意外的.忽然的.突然的.;
ist	abbr.istituto (Italian=institute) （意大利语）机构.;
useful	adj.有用的，有益的，有帮助的.令人满意的.;
entirety	n.整体，全面.作为一个整体.完全.;
throughout	 prep.遍及,贯穿adv.到处,始终,全部
reuse	vt.再用，重新使用.;n.再用，重新使用.;
attached	adj.附加的，附属的.依恋的.爱慕的.;v.贴上，系，附上( attach的过去式和过去分词).;
belong	vi.属于,住
implication	n.含义.含蓄，含意，言外之意.卷入，牵连，牵涉，纠缠.[逻辑学]蕴涵，蕴含.;
ble	abbr.Brotherhood of Locomotive Engineers <美>火车司机兄弟会.;
bub	n.<美口>小弟弟，小家伙.;
nesting	n.嵌套.;v.筑巢( nest的现在分词 ).;
neatly	adv.整洁地,优美的,巧妙的,[酒类]纯的
nest	n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入
bucket	n.水桶.一桶（的量）.大量.〈俚〉交通工具.;v.用桶装，用桶运.倾盆而下.〈美俚〉骗.猛开车，猛划船.;
container	n.容器(箱,盆,罐,壶,桶,坛子),集装箱
act	n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
consist	vi.由...组成,在于,一致
explore	vi.勘查， 探测， 勘探.[医]探查（伤处等），探索，研究.;vt.探索， 探究， 仔细查看.;
pessimistically	adv.悲观地.;
regarding	 prep.关于
defeat	vt.击败，战胜.挫败.[法]宣告无效，作废.;n.战胜.失败.[法]废除.;
downside	n.下降趋势.负面，消极面.;adj.下降趋势的.;
latter	adj.后面的,(两者中)后者的,较后的,近来的
predict	vt.预言，预测.预示，预告.;vi.预言，预示：预言某事，预言.;
effects	n.动产，财物，家财.结果( effect的名词复数 ).效果.感受.个人财产.;
limit	n.限制.限量，限度.界限.;vt.限制，限定.;
smart	n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的
slower	v.减慢
present	adj.现在的.目前的.出席的.[语法学]现在时的.;n.现在.礼物.瞄准.;vt.介绍.出现.提出.赠送.;vi.举枪瞄准.;
pointless	adj.无意义的.不得要领的.钝的.无谓.;
sense	n.感觉，官能.意识，观念.理性.识别力.;vt.感到.理解，领会.检测出.;
pessimistic	adj.悲观的，厌世的.悲观主义的.;
invalid	adj.无效的.不能成立的.有病的.病人用的.;vt.使伤残.使退役.失去健康.;n.病人，病号.残废者.伤病军人.;vi.变得病弱.因病而奉命退役.;
awareness	n.察觉，觉悟，意识.;
effort	n.努力，尝试.工作.成就.杰作.;
analyze	vt.分析,分解
boil	n.煮沸，沸腾.疔，疖子.[医]疡肿，脓肿.;vt.& vi.（使）沸腾，开.;vt.用开水煮，在沸水中煮.;vi.怒火中烧，异常气愤.;
optimization	n.最佳化，最优化.优选法.优化组合.;
flexibility	n.柔韧性，机动性，灵活性.伸缩性.可塑度.柔度.;
big	adj.大的.重要的.（计划）庞大的.大方的.;adv.大量地.成功地.夸大地.宽宏大量地.;n.大亨.大公司.;
functionality	n.（计算机或电子系统的）功能.功能性.设计目的.实用.;
retain	vt.保持.留在心中，记住.雇用.付定金保留.;
unsafe	adj.不安全的.危险的.不安稳的.;
indirect	adj.间接的.不直截了当的.闪烁其词的.不坦率的.;
low	adj.低的，矮小的.楼下的，低洼的.沮丧的.下贱的.;adv.低声地.谦卑地.底下地.;n.低点.低水平.牛的叫声.;vi.（牛）哞哞叫.;
outright	adv.完全地.彻底地.坦率地，不客气地.即刻，马上.;adj.完全的，彻底的.直率的.明白的.总共的.;
restricted	adj.有受限制的.（土地）对公众不完全开放的.保密的.;v.限制( restrict的过去式).;
affected	adj.受到影响的,受(疾病)侵袭的,假装的,做作的
addition	n.加，增加，附加.[数]加法.增加的人或事物.;
explanation	n.解释.说明.辩解.（消除误会后）和解.;
thought	n.思想.想法.关心.思索.;v.想( think的过去式和过去分词).思索.以为.认为.;
bend	vt.（使）弯曲，屈身.拉弯.使成形，强行.集中全力于.;vi.偏向.使变曲，成角度.弯身，弯腰.专心.;n.弯曲（处）.（尤指道路或河流的）拐弯.弯道.（潜水员过快浮出水面造成的）减压病.;
mind	n.心，精神，心力，知，智力，智慧.心胸，头脑，人.愿望，目的，意向，意志，决心，见解，意见.记忆，记性，记忆力，回想.;vi.介意.注意.;vt.专心于.介意.愿意做.照顾.;
sort	n.种类,类别v.分类,拣选
strange	adj.陌生的，生疏的.奇怪的，古怪的.疏远的.外国的.;adv.奇怪地.陌生地.冷淡地.;
neither	adj.pron.两者都不 conj.既不...又不,也不
correspond	vi.符合,协调,通信,相当,相应
air	n.天空.气氛.空运.（简单易记的）曲调.;vt.& vi.晾晒.烘干.播送.广播.;vt.使房间通风， 透气.;
thin	adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分
whole	n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个
wholly	adv.完全地，全部地.十足，统统.专门.一并.;
zero	n.（数字）0.零度.;adj.全无的，没有的.;v. .聚焦，集中.;
peculiar	adj.奇怪的，古怪的.异常的.特有的，特殊的.;n.专有特权，专有财产.[多用于英国]特殊教堂.;
remains	n.遗骨，遗体，残骸，残余，遗迹.废墟，遗址，遗迹，剩余（物），余额.;v.留下( remain 的第三人称单数).保持.留待.仍然是.;
reflected	adj.反射的，得自他人的.;v.反射（光、热、声或影像）( reflect的过去式和过去分词 ).考虑.反照.表达.;
ter	n.=terr adv.[医]三次
leak	vi.漏出.透露.（指消息，秘密等）泄密.漏电，漏水.;vt.使泄露.<非正式> 擅自公开.;n.泄漏，漏洞.裂缝.漏出物.（俚语）撒尿.;
oops	int.表示惊讶,狼狈时所发的喊声
convenient	adj.方便的.[废语]适当的.[口语]近便的.实用的.;
short	n.简略,短路,短裤adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短adv.突然,缺乏,不足
repeat	vt.复述，背诵.重复.;vi.重做.重复投票.;n.（节目）重演.重复.重复的事物.;
tedious	adj.单调沉闷的.冗长乏味的.令人生厌的.;
repeating	adj.反复的，重复的.;v.重做( repeat的现在分词 ).复述.重说.重复发生.;
prop	n.支柱，支撑物.支持者，后盾，靠山.道具.（橄榄球中的）支柱前锋.;vt.支撑，支持，维持.使倚靠在某物上.;
shorthand	n.速记，速记法.速记记录文字.;adj.速记法的.;
perspective	n.透镜，望远镜.观点，看法.远景，景色.洞察力.;adj.（按照）透视画法的.透视的.;
choose	v.选择,选定
valid	adj.有效的.有法律效力的.正当的.健全的.;
keyword	n.关键字.关键词.;
worth	 prep.相当...价值n.价值,财产adj.值钱的,值的看中的
almost	adv.几乎，差不多.将近.快要.近乎.;
degradation	n.堕落.潦倒.毁坏.恶化.;
rare	adj.罕见的，特殊的.优秀的，不寻常的.稀薄的，经过稀化的.;
incredibly	adv.难以置信地，很，极为.;
avoid	vt.避开，避免，预防.[法]使无效，撤销，废止.;
constructor	 [计] 构造器
deprecate	vt.抗议,不赞成,抨击,反对,藐视,轻视
since	adv.以后,后来,以前 prep.自从,自...以来 conj.自...以后,自...以来,因为,既然
legacy	n.遗赠(物),遗产(祖先传下来)
evaluate	vt.评价,估计,求...的值v.评价
respective	adj.各自的，分别的.;
effect	n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)
similar	adj.类似的.同类的.相似的.同样的.;n.类似物.相像的人.相似物.;
facility	n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具
enclose	vt.放入封套,装入,围绕
own	n.自己的事物.自己人.;vt.拥有.承认.;vi.承认.;adj.自己的.特有的.;
operate	v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动
cause	n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成
through	prep.通过，穿过.经由.透过.凭借.;adv.从头到尾.彻底.自始至终.;adj.（电话）接通.通话完毕.有洞的.直达的.;
reside	vi.住，居住，（官吏）留驻，驻在.（性质）存在，具备，（权力，权利等）属于，归于.;
contain	vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽
default	vi.未履行任务或责任.受传唤时未出庭.由于不到庭而败诉.弃权.;vt.未履行，拖欠.未参加或完成（例如，比赛）.[法]因未到庭而败（诉）.;n.未履行，拖欠.[法]未到庭.弃权.[计] 缺省，默认.;
benefit	n.利益，好处.救济金，津贴.义演，义卖.恩惠，恩泽.;vt.有益于，有助于.使受益.得益，受益.;
real	adj.真的.真实的，现实的.事实上的.真诚的.;adv.真正，实在.确实地.;n.实在，现实.实数.;
static	adj.静止的.不变的.静电的.[物]静力的.;n.静电.[物]静电（干扰）.静力学.争吵.;
essentially	adv.本质上,本来
dynamical	adj.动力（学）的，有力量的.;
logic	n.逻辑，逻辑学.（做某事的）道理.推理方法.威力，压力，强制（力）.;adj.逻辑的.;
easily	adv.容易地.很可能.迅速地.频繁地.;
literal	adj.照字面的.原义的.逐字的.平实的，避免夸张.;n.[印]错排，文字上的错误.;
pass	n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌
normally	adv.正常地.通常地，一般地.按说.论理.;
print	n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印
existing	adj.目前的.现存的.;v.存在( exist的现在分词).持续存在.;
str	abbr.structure 结构.string(s) 线.straight 直（的）.structural 结构（上）的.;
dy	abbr.day 天.duty 义务.dynamotor 电动发电机.delivery 递送.;
subsequent	adj.后来的.随后的.作为结果而发生的.附随的.;
along	adv.往前,向前 prep.顺着,沿着
pretend	vt.假装，伪装.假称.装扮.;vi.扮演.自称.假装，矫作.;adj.仿制的.;
allow	vt.允许.承认.给予.准许（做某事）.;vi.容许.考虑.;
clear	adj.清楚的，明白的.清晰的，明亮的.清澈的.明确的.;adv.完全地.清晰地.整整.;vi.变明朗.变清澈.;vt.扫除，除去.消除（嫌疑）.使清楚.使干净.;n.空隙，空间.;
light	n.光.发光体.电灯.点火器.;adj.轻的.明亮的.浅色的.少量的.;v.点燃.照亮.用光指引.;adv.轻地，轻装地.;
intended	adj.有意的.预期的.;n.已订婚者.;v.打算(intend的过去式和过去分词).意指.;
pun	n.双关语.俏皮话.;vi.说双关语.;vt.捣结实.;
evaluating	vbl.评估,评价,评测
generate	vt.形成，造成.产生物理反应.产生（后代）.引起.;
issue	n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣
explain	v.解释,说明
poor	adj.贫穷的，贫乏的.令人怜悯的，可怜的.匮乏的.低劣的.;n.the poor 贫困者，穷人.;
lead	vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯
missing	adj.失去的.下落不明的.;v.错过( miss的现在分词).;
typical	adj.典型的.特有的或特别的.代表性的.;
bad	adj.坏的，不好的.严重的.不舒服的.低劣的，有害的.;n.坏人，坏事.;adv.不好地，非常地.;
community	n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落
wider	adj.宽的，广阔的(wide的比较级).;
equally	adv.相等地.平等地.公正地.平均.;
mechanism	n.[生]机制，机能，[乐]机理.（机械）结构，机械装置[作用]，（故事的）结构.[艺]手法，技巧，途径.机械作用.;
possibly	adv.可能地.也许，或许.敢是.容许.;
decision	n.决定.果断.决议.（法院的）判决.;vt.[口语][拳击]靠判定击败（对手）.;
respectively	adv.各自地.各个地.分别地.;
locate	vt.查找...的地点,使...坐落于,位于v.定位,位于
piece	n.块，片，段.部分，部件.文章，音乐作品.;vt.修补.连接，接上.;
class	n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)
apply	vt.应用，运用.申请.涂.敷（药）.;vi.申请，请求，适用.适用，适合.专心致志.;
non	adv.非，不.;n.[法]反对票，投反对票的人.;
due	adj.由于.适当的.预定.到期.;n.应有的权利.应得到的东西.应缴款.;adv.正向.正对着.;
inaccessible	adj.达不到的.难见到的.不能接近的.无法理解的.;
indirectly	adv.间接地.迂回地.婉转地.不坦率地.;
stead	n.代替.用处，好处.有帮助.;v.对。。有用.;
directly	adv.直接地,立即
possible	adj.可能的.可接受的.合理的，可以允许的.不坏的.;n.可能性，潜在性.可能的人物，可能有的事.最高分.;
window	n.窗，窗户.窗口.〈美俚〉眼镜.;
glob	n.一滴，一小滴水珠，（可塑性物质的）一团.;
properties	n.房地产(property的名词复数).财产.所有权.特性.;
automatically	adv.自动地.无意识地.不自觉地.机械地.;
upward	adj.向上的，上升的.升高的.;adv.向上地，上升地.;
outward	adj.向外的.外面的.公开的.[宗]肉体上的.;adv.向外（等于outwards）.在外.;n.外表.外面.物质世界.;
layer	n.层,阶层
multiple	adj.多重的.多个的.复杂的.多功能的.;n.<数>倍数.[电工学]并联.连锁商店.下有多个分社的旅行社.;
match	n.比赛.对手.相配的人（或物）.火柴.;vt.相同.适应.使较量.使等同于.;vt.& vi.使相配，使相称.;
near	adv.（空间）在近处.在附近.（时间）临近.（程度）几乎.;prep.（表示程度）接近.（表示位置）靠近.（表示时间）将近.接近于（某种状态）.;adj.近的.亲密的.近似.（亲属关系）近亲.;
won	v.获胜，战胜（ win的过去式和过去分词 ）.;
innermost	adj.最深处的.隐私的，最隐秘的.;
referenced	adj.参考的，引用的.;
goes	v.进行（go的第三人称单数）.去.离开.进展.;n.（牌戏、下棋等中）轮到的顺序（go的复数形式）.;
sole	adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底
place	n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前
ex	prep.不包括,无权得到
placement	n.安置，放置.实习工作，实习课.定位，[足]定位球.;
relative	adj.相关的.相对的.相互有关的.比较而言的.;n.亲属，亲戚.相关物.亲缘植物（或动物）.[语法学]关系词.;
parent	n.父亲（或母亲）.先辈.根源，起源.保护者.;
ally	n.同盟国，同盟者.助手，支持者.协约国.联盟.;vt.&vi.（使）联盟，（使）同盟.（使）结盟，（使）联姻.;
parti	n.<法>合适的婚姻对象，（结婚的）理想配偶.;
boundary	n.分界线.范围.（球场）边线.;
cross	n.十字架.十字形饰物.杂交品种.痛苦.;vi.交错而行.横渡.越境.;vt.杂交.横跨，穿越.划掉.使相交.;adj.坏脾气的， 易怒的.相反的，反向的.;
diagram	n.图表.图解.示意图.[数]线图.;vt.用图表示.图解.;
venn	diagram(s)（数）（用圆表示集与集之间关系的）维恩图.;[人名] [英格兰人姓氏] 维恩 Fenn的变体.[地名] [加拿大、南非共和国] 文恩.;
talking	n.讲话.（表示对所说的事情感兴趣） 你这话说着了.提起.说到.;adj.会说话的.讲话的.饶舌的.富于表情的.;v.说( talk的现在分词 ).讨论.说话.（用以强调款额、情况严重程度等）讲的是.;
strictly	adv.严格地.完全地.;
chose	v.挑选（ choose的过去式 ）.选择.选定.喜欢.;
units	n.单位.[药剂学]（药物、疫苗、血清、抗原等的）单位( unit的名词复数 ).装置.一件（商品）.（栋公寓大楼中的一套公寓）单元.;
written	vbl.write的过去分词
encompass	vt.围绕，包围.包含或包括某事物.完成.;
bubble	n.泡，水泡.冒泡，起泡.泡影，妄想.（欲表达的）一点感情.;vt.& vi.起泡，使冒气泡.;vi.使冒泡，发出冒泡的声音.洋溢着（某种感情）.滔滔不绝地讲.兴奋，欢闹.;
inherent	adj.固有的,内在的,与生俱来的
bar	n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图
nature	n.自然,自然界,大自然,自然状态,本性,天性,种类
entirely	adv.完全地.完整地.全部地.彻底地.;
practice	n.练习.实践.（医生或律师的）业务.惯例.;vi.实行.惯常地进行.练习.实习.;vt.实行，实践.执业.练习.惯常地进行.;
upon	 prep.在...之上
frown	vt.& vi.皱眉.不同意.蹙额.;n.皱眉，蹙额.;
after	adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的
thereby	adv.因此,从而,在那方面,在那附近
stone	n.石头.宝石.矿石.（膀胱或肾脏中的）结石.;vt.向扔石块.用石头铺.以石掷向.除（水果的）硬核.;adj.石制的.石头似的.[S-]石器时代的.粗陶制的.;adv.石一般的.;
based	v.立基于,基于...,以...为基础,vbl.建立,装置
circularly	adv.圆地，循环地.;
foundation	n.基础,根本,建立,创立,地基,基金,基金会
semantic	adj.<语>语义的，语义学的.;
recall	vt.叫回，召回.使想起，回想.取消.调回工厂.;n.召回，唤回.记忆力，回想.罢免.收回通告.;
standard	n.标准，规格.旗，军旗.度量衡标准.直立支柱.;adj.标准的，合格的.普遍的，一般的.公认为优秀的.;
phase	n.相，周相.阶段.[物理学]相位.方面，侧面.;vt.分阶段实行.调整相位.;vi.分阶段进行.;
discus	n.铁饼,掷铁饼
employ	vt.雇用.使用，利用.;n.受雇.服务.工作.;
provide	vt.& vi.提供，供给，供应.;vt.规定.提供(+for).装备.预备.;vi.抚养，赡养(+for).做准备.预约(for 或 against).;
mention	vt.提及,说起n.提及,说起v.论及,提及
appendix	n.附录,附属品,[解]阑尾
bash	vt.痛击，猛击.严厉批评.怒殴.;vi.严厉地，威胁地批评指责.;n.重击，猛撞.痛快的玩乐[消遣].<英方>尝试.;
still	adv.仍，仍然.更，还要.静静地.〈诗〉常，不断地.;adj.不动的，静止的.不狂暴的，温柔的.没有活力的，死气沉沉的.;n.平静，寂静.剧照.静止摄影.蒸馏器.;vt.& vi.（使某物）平静下来，安静.〈古〉烧（酒），蒸馏.;conj.但是.然而.;
examine	vt.检查，调查.考试.诊察.审问.;vi.检查.调查.;
majority	n.多数.（获胜的）票数.成年.法定年龄.;
vast	adj.广阔的.巨大的.大量的.巨额的.;n.浩瀚.广大无边的空间.;
model	n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟
predominant	adj.主要的，占主导地位的.占优势的，卓越的.有影响的.特优种.;
govern	vt.统治.管理.治理.支配（词或短语的形式或用法）.;vi.控制，支配.操纵.;
beginning	n.开始.根源.原始思想.前兆.;v.开始( begin的现在分词).;
separate	vt.& vi.分开.（使）分离.区分.隔开.;vt.分离（混合物）.分居.分类.割开.;vi.分手.断裂.（夫妻）分居.断绝关系.;adj.单独的.分开的，分离的.不同的.不相关的.;n.分开的事物.[用复数]（音响设备中的）独立件.;
split	vt.分裂.分开.<俚>（迅速）离开.分担.;n.划分.分歧.裂缝.劈叉.;vi.<俚>走开.揭发.被撞碎.<美>[证券]（股票）增加发行.;adj.裂开的，劈开的，分离的，分裂的.;
determine	vt.& vi.（使）下决心，（使）做出决定.;vt.决定，确定.判定，判决.使决定.限定.;vi.[主用于法律]了结，终止，结束.;
against	 prep.相反,反对,逆着,靠着,倚着
attempt	vt.试图.尝试.;n.进攻.尝试，冲击.;
illegal	adj.不合法的，违法的.违反规则的.;n.非法移民，非法劳工.间谍.;
successful	adj.成功的，如愿以偿的.;
failure	n.失败，不及格.缺乏，不足.破产，倒闭.失败的事，失败者.;
undefined	adj.未阐明的.未限定的.;
null	adj.<术>零值的.等于零的.（协议） 无法律效力.失效的.;
impossible	adj.不可能的，做不到的.难以忍受的.不会有的，不能相信的.;n.不可能.不可能的事.;
try	vt.& vi.试图，努力.实验.审判.考验.;n.尝试，实验.[橄]触球，（因触球获得的）向球门踢球的权利.;
similarly	adv.相似地.类似地.;
throw	vi.投掷.丢.抛.;n.投掷的距离.丢.;vt.掷（色子）.抛.猛动（头、臂、腿）.使处于，使限于.;
creation	n.制造，创造.创造物，产物.（尤指<圣经>所述由上帝）创造天地，宇宙.（爵位等的）封授.;
implicit	adj.不言明[含蓄]的.无疑问的，绝对的.成为一部份的.内含的.;
automatic	adj.自动的.不假思索的，无意识的.必然发生的.;n.自动化机器或设备.自动手枪.;
disallow	vt.不接受.不准.驳回.;
behavior	n.行为.态度.（机器等的）运转状态.（事物的）反应.;
relaxed	adj.（人）轻松的.自在的.无拘无束的.舒适的.;adv.轻松地.自在地.舒适地.随便地.;vt.（使）轻松( relax的过去式).（使）松弛.放宽.（使）放松.;vi.松散.松弛.放宽.放松.;
number	n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入
created	adj.创造的.;v.创造( create的过去式和过去分词 ).引起.造成.封.;
arrive	vi.到达，来.发生.;
thrown	v.投( throw的过去分词 ).掷.扔.抛.;
anywhere	adv.什么地方.任何地方.无论何处.〈口〉（用于否定句〕根本(不）.;
fail	vt.& vi.失败，不及格.倒闭，破产.缺乏.衰退.;vi.衰退.失败，不及格.破产.不足.;vt.不及格.使失望.忘记.舍弃.;n.失败，失误.不及格.不及格者.[商]期货交割失期.;
undeclared	adj.未申报的，未经宣战的.;
stance	n.态度，立场.站姿，被放置的姿势.位置.（运动员的）始发姿势.;
matter	n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧
